,_id,,location,date,type,subregion,town,county,site,fatalities,losses,source,add,uncertainty,created_at,updated_at,__v,triggering_description,triggering
20,5f568a512226ad7c84db8c4d,31,"[-75.8198172, 5.598813199999999]",1996-05-06 00:00:00,Landslide,Suroeste,Jardín,,V. quebrada Bonita Gibraltar Macanas.,0,0,Corantioquia,El deslizamiento de la quebrada la paraisa parece ser producto de aguas subterráneas. afloran aguas por dos sitios diferentes y cerca del fenómeno. este deslizamiento puede represar la quebrada. se recomienda hacer un seguimiento y estudio del comportamiento de los deslizamientos y de las aguas. colocar trinchos con el fin de colaborar en la recuperación del terreno. tratar de recuperar la microcuenca revegetalizar. realizar un manejo adecuado de aguas. (di6author : c.p. di6date : 18/09/00),High,,,,Lluvias - Aguas subterráneas,Rainfall
21,5f568a512226ad7c84db8c5c,46,"[-76.00001, 6.25002]",1998-03-11 00:00:00,Landslide,Suroeste,Betulia,Luciano Restrepo,V. la Fosforera.,0,0,Corantioquia,Se pudo observar que la principal causa de degradación en un amplio sector incluyendo la cárcava es en primer lugar el uso inadecuado de la tierra valga decir la ganadería intensiva que por el trajinar permanente del ganado por el mismo sitio ha ocasionado erosión en terracetas y desprendimiento masales que juntamente con la presencia de abundantes aguas subsuperficiales y el material litológico descrito aceleran los procesos erosivos y degradan el área en forma tan dramática como se presenta en la aualidad debido a su fragilidad y condiciones desfavorables de pendiente. se firmó el contrato no 969 en diciembre de 1997 con el municipio para desarrollar obras de mitigación y recupéración del área en el cual se contempla la construcción de trinchos (di6author : c.p. di6date : 20/10/00),Mid,,,,Error humano - Uso inadecuado de la tierra,Anthropic
22,5f568a512226ad7c84db8c6e,63,"[-75.78472579999999, 5.7914344]",1996-09-11 00:00:00,Landslide,Suroeste,Jericó,,Seminario Mayor.,0,0,Corantioquia,El problema es antiguo y se realizaron varias obras civiles con el fin de estabilizarlo. despúes de un tiempo de realizadas las obras se reactivó el fenómeno provocando la destrucción de la iglesia y deterioro en la piscina asi como agrietamientos y asentamientos en varios sitios. el fenómeno solo se observa en la parte posterior del seminario no se presenta en construcciones vecinas esto indica que es puntual. el problema puede ser ocasionado por aguas. se recomienda hacer un seguimiento a las aguasel seminario para determinar si el problema es debido a estas. tratar de frenar las influencias de las aguas superficiales rellenando las grietas que sean posibles y recogiendo las aguas para su debida evacuación. (di6author : c.p. di6date : 20/10/00),High,,,,Error humano - Problema de alcantarillado,Anthropic
23,5f568a512226ad7c84db8c72,67,"[-75.5674243, 5.874190899999999]",1997-12-01 00:00:00,Landslide,Suroeste,Santa Bárbara,,B. Sta. Bárbara y Calle Nueva.,0,0,Corantioquia,Con relación a los sitios de descarga de madera sobre la vía se debe tener en cuenta la seguridad de los transeúntes además se deben realizar acciones tendientes a recuperar el deterioro ocasionado en el terreno por tal actividad y evitar que se inicien procesos erosivos. el sitio donde se construyó la urbanización santa bárbara no es el más adecuado y menos después de haberse presentado un deslizamiento en 1996. el talud tiene pendientes muy altas y el material es frágil inestable y deleznable. se remienda propiciar el desarrollo de cobertura vegetal en el sitio de extración de madera. en la urbanización se deben reubicar las viviendas de la parte alta el tratamiento del talud como son la costrucción de un muro de contención revisar el existente. (di6author : c.p. di6date : 5/11/00),High,,,,Error humano - Malos manejos en la tala de Madera,Anthropic
24,5f568a512226ad7c84db8c78,73,"[-75.6115719, 7.0034898]",1999-11-11 00:00:00,Landslide,Norte,Yarumal,Loma de Ochalí,V. el Llano.,0,0,Corantioquia,El problema que se presenta es una serie de fenpoemenos erosivos que han conllevado a la formación de cárcavas y deslizamientos de gran magnitud. las causas es la combinación de varios elementos altas pendientes suelo inestable fallas geologicas aguas superficiales subsuperficiales y subterráneas. (di6author : c.p. di6date : 5/11/00),Mid,,,,Lluvias - Intenso invierno,Rainfall
25,5f568a512226ad7c84db8cab,124,"[-75.1469662, 7.073592499999999]",1998-03-17 00:00:00,Flood,Nordeste,Anorí,,V. Madreseca .,0,0,Corantioquia,(di6author : c.p. di6date : 5/11/00),High,,,,Lluvias - Intensas lluvias,Rainfall
26,5f568a512226ad7c84db8c34,14,"[-75.43898999999999, 7.163592]",1997-08-22 00:00:00,Landslide,Norte,Valdivia,,Barrio las Tres Rosas.,0,0,Corantioquia,El problema una avenida torrencial ha ocurrido en varias ocasiones según los habitantes de la vereda se inició hace 4 años aproximadamente. según comenta los vecinos esta fué la más fuerte que haya ocurrido. el evento destruyó 3 viviendas y afectó un negocio y un puente. las causas por las cuales la quebrada la arrocera se viene creciendo son las mismas que vienen presentando varios cauces y quebradas que cruzan por debajo de la vía puerto valdivia y valdivia. se recomienda crear un comité veredal demergencia indicar a la comunidad (educar) en como percibir la posibilidad de ocurrencia. evacuar y reubicar a los vecinos inmediatos al área de influencia del evento. visitar el nacimiento de la quebrada y el cauce general y evaluar su estado. (DI6Author : C.P. DI6Date : 18/09/00),High,,,,Lluvias - Intensas lluvias,Rainfall
27,5f568a512226ad7c84db8c50,34,"[-75.879654, 5.656421]",1996-09-12 00:00:00,Landslide,Suroeste,Andes,,B. San Luis B la Cuchilla.,0,0,Corantioquia,Barrio san luis se presenta un asentamiento en la calle y agrietamientos en unas de las viviendas se evacuaron los residentes de una de ellas. barrio la cuchilla se presentó un deslizamiento que afectó unas viviendas las cuales fueron demolidas y sus habitantes reubicados. quebrada la chaparrala tiene alto poder de arrastre hace 50 años no ocurre una creciente. el comité local se ecuentra activo y conoce los principales problemas. se recomienda mantener la vigilancia permanente realizar campañas de contización de los habitantes no permitir cosntrucciones en lugares inadecuados para ello continuar con la busqueda de lotes para reubicar a los habitantes (DI6Author : C.P. DI6Date : 18/09/00),High,,,,Lluvias - Intensas lluvias,Rainfall
28,5f568a512226ad7c84db8c55,39,"[-75.98467, 6.11278]",1996-10-30 00:00:00,Landslide,Suroeste,Betulia,,V. Villanueva V. Buena Vista.,0,0,Corantioquia,(di6author : c.p. di6date : 18/09/00),High,,,,Otra causa - Altas pendientes roca frágil,Unknown
29,5f568a512226ad7c84db8c60,50,"[-75.8198172, 5.598813199999999]",1998-07-03 00:00:00,Landslide,Suroeste,Jardín,,S. Chusparota V. Morro Amarillo.,0,0,Corantioquia,Quebrada la clara se presentan grietas deslizamientos movimientos en masa humedales deforestación mal manejo del suelo etc. el terreno es muy pendiente tiene muchas aguas el suelo es frágil y la cobertura inadecuada.en la vereda morro amarillo se presenta un deslizamiento por la construcción de una cancha de futbol. se recomienda comprar el terreno para aislarlo sellar grietas y recubrirlas con vegetación. se deben construir en la cancha de futbol filtros cunetas perimentrales gaviones revegalizar el talud. (DI6Author : C.P. DI6Date : 20/10/00),High,,,,Error humano - Deforestación mal manejo del suelo,Anthropic
30,5f568a512226ad7c84db8c77,72,"[-75.840589, 5.794161]",1998-05-05 00:00:00,Landslide,Suroeste,Pueblorrico,,S. el Aberrio.,0,0,Corantioquia,En el sector aberrio el barrio aberrio se encuentra cerca a la quebrada del mismo nombre no se observan grietas en el terreno ni en las viviendas tampoco se ven asentamientos ni hundimientos significativos. al parecer la principal amenanaza es la quebrada el aberrio. el botadero de basuras de la parte de arriba no cumple con ninguna especificación técnica se están presentando grietas y asentamientos que pueden ocasionar daños en las viviendas. se debe solucionar el problema del botadero de basuras scombros y tierra. se deben rellenar grietas y revegetalizar. se debe mantener limpio el cauce de la quebrada así como proteger las orillas de la erosión. se debe tener un sistema de alarma por medio del cual se pueda alertar a los vecinos. (DI6Author : C.P. DI6Date : 5/11/00),High,,,,Lluvias - Altas precipitaciones,Rainfall
31,5f568a512226ad7c84db8c85,86,"[-75.9080161, 6.7192948]",1996-04-30 00:00:00,Landslide,Occidente,Buriticá,,V. Araos.,0,0,Corantioquia,Existen fuertes pendientes en la región el terreno presenta fracturas de diferentes tamaños y direcciones parecen ser que las lluvias agravan en alguna medida el problema. el deslizamiento parece de tipo planar y presenta una corona con diferencia de 1.5m de altura por 1m de profundidad.además del deslizamiento existe la posibilidad del represamiento de la quebrada. se recomienda hacer seguimiento prohibir el pastoreo y evitar trabajos de minería tratar de recuperar la microcuenca revegetalizando coespecies adecuadas a la región. (di6author : c.p. di6date : 5/11/00),High,,,,Lluvias - Intensas lluvias,Rainfall
32,5f568a512226ad7c84db8c8e,95,"[-75.70361111111112, 6.045]",1973-06-18 00:00:00,Landslide,Suroeste,Andes,,Vía Amagá - Titiribí.,0,0,El Colombiano,6º02´42´´ y 75º42´13´´ (di6author : c.p. di6date : 10/12/00),Low,,,,Lluvias - El invierno,Rainfall
33,5f568a512226ad7c84db8c32,13,"[-75.41611111111112, 6.961388888888889]",1973-08-30 00:00:00,Landslide,Norte,Yarumal,,Vía Yarumal -Cedeño.,0,0,El Colombiano,6º57´41´´ y 75º24´58´´. (di6author : c.p. di6date : 10/12/00),Low,,,,Lluvias - Época de invierno,Rainfall
34,5f568a512226ad7c84db8c45,25,"[-75.08706699999999, 6.538376]",1998-11-06 00:00:00,Landslide,Nordeste,Cisneros,,Sabanalarga.,0,0,Corantioquia,Se observa muchos deslizamientos son planares y de diferente magnitud también hay deforestación intensiva y ganadería. existe en la parte alta del morro bastantes afloramientos de agua y humedales en este sector nace la quebrada el zarzal. los nacimientos y humedales no cuentan con ninguna protección. se recomienda como se ha venido planteando y sugiriendo desde hace algún tiempo lo ideal sería declarar zona de manejo especial o de reserva a todo el sector de los nacimientos se debe prohibir la ganadía y cualquier tipo de cultivos. (di6author : c.p. di6date : 18/09/00),High,,,,Error humano - Deforestación intensiva ganadería,Anthropic
35,5f568a512226ad7c84db8c4a,29,"[-74.7020799, 6.4778356]",1999-05-10 00:00:00,Landslide,Magdalena Medio,Maceo,La Floresta,C. la Floresta.,0,0,Corantioquia,En los alrededores inmediatos de la bocatoma se observan muchos deslizamientos unos 200m aguas arriba es posible contar 9 esto debido a los fuertes aguaceros de los últimos dias amenazando viviendas vías y acueducto. el problema más importante fue el deterioro de la bocatoma del acueducto debido a los sedimentos rocas y troncos depositados por los deslizamientos. la comunidad unas 150 personas se encuentran afectadas y requieren solución rápida a su problema. se recomienda determinar el número ti y características de los deslizamientos que existen y deben recuperarse con el fin de mitigar la situación cuantificar el costo de la recuperación el tiempo etc. debe evitarse la deforestación la quema el cambio de aptitud del suelo. (di6author : c.p. di6date : 18/09/00),Mid,,,,Lluvias - Fuertes aguaceros,Rainfall
36,5f568a512226ad7c84db8c5b,45,"[-75.9067158, 6.046265200000001]",1997-07-17 00:00:00,Landslide,Suroeste,Concordia,,Sector la Nitrera,0,0,Corantioquia,La cárcava y el deslizamiento continúan activas y la mayor influencia en el proceso está relacionado con las aguas (lluvias y lixiviados) no se han realizado ninguna obra de protección mitigación estabilización etc de las que se han dejado como recomendaciones en los informes anteriores. a la situación se le debe prestar atención sino el problema se puede incrementar. se recomienda ir cumpliendo con las recomendaciones dejadas hasta el momento y así empezar a estabilizar el problema. (di6author : c.p. di6date : 20/10/00),High,,,,Error humano - Inadecuado manejo de relleno,Anthropic
37,5f568a512226ad7c84db8c6a,59,"[-75.56333333333333, 5.875555555555556]",1974-05-04 00:00:00,Landslide,Suroeste,Santa Bárbara,,Vía Medellín-Alto de Minas-La Pintada.,0,0,El Colombiano,5º52´32´´ y 75º33´48´´ (di6author : c.p. di6date : 10/12/00),Low,,,,Lluvias - El invierno,Rainfall
38,5f568a512226ad7c84db8c79,74,"[-75.78472579999999, 5.7914344]",1998-07-02 00:00:00,Landslide,Suroeste,Jericó,,U. Cementerio y Seminario.,0,0,Corantioquia,El problema consiste en un asentamiento de la vía que conduce al casco urbano. la vía en este tramo tiene el botadero a un lado y los humedales y ganadería al otro. el botadero carece de zanjas perimentales presenta grietas de varios centímetros de ancho asentamientos obstrucción de un humedal. las causas son aguas mal conducidas afloramientos de agua obstruidos suelo poco consistente abundante tráfico de vehiculos pesados zonas de humedales vecinas etc. se recomienda dar un adecuado manejo de aguluvias y aflorantes construir cunetas perimetrales rellenar grietas controlar procesos de asentamientos revegetalizar. (di6author : c.p. di6date : 5/11/00),High,,,,Error humano - Aguas mal conducidas y trafico de vehiculos,Anthropic
39,5f568a512226ad7c84db8c82,83,"[-75.82240300000001, 5.864924999999999]",1999-06-02 00:00:00,Flood,Suroeste,Tarso,,B. Ma. Auxiladora Q. Sincelejo.,0,0,Corantioquia,La ubicación inadecuada del barrio maria auxiliadora este ocupa en parte el cauce de la quebrada la cristalina y en épocas invernales sus crecientes incrementan la amenaza para las viviendas inmediatas. la situación es conocida por la administración municipal que ha prestado atención al caso y ya tiene censo de familias y construcciones. la quebrada sincelejo presenta problemas similares y debe iniciarse la gestión encaminada a solucionar los mismos. se recomienda reubicar lo más pronto posible las famias amenazadas. aislar el terreno e impedir de nuevo su invasión una vez sean desalojadas las familias.realizar proyectos tendientes a adquirir fondos para reubicar las familias que queden pendientes para hacerlo en la quebrada la cristalina. (DI6Author : C.P. DI6Date : 5/11/00),High,,,,Lluvias - Lluvias que incrementaron el nivel de la quebrada,Rainfall
